date,price,open,high,low,close
2010-04-16,3415.6,3450,3488,3413.2,3415.6
2010-04-19,3197.4,3396,3398,3166.2,3197.4
2010-04-20,3214.6,3209.2,3240,3168.8,3214.6
2010-04-21,3267.2,3215,3281.2,3208,3267.2
2010-04-22,3236.2,3260.2,3274.4,3211,3236.2
2010-04-23,3221.2,3241,3266,3221,3221.2
2010-04-26,3219.6,3243,3252,3211.8,3219.6
2010-04-27,3138.8,3201.2,3205,3107.6,3138.8
2010-04-28,3129,3101.6,3142.6,3094.2,3129
2010-04-29,3083.8,3141,3157.6,3082.2,3083.8
2010-04-30,3107,3103,3119.6,3043,3107
2010-05-04,3076.4,3079.8,3094.4,3060.8,3076.4
2010-05-05,3076.4,3046.4,3087,3031,3076.4
2010-05-06,2967.4,3078.6,3083.4,2953.6,2967.4
2010-05-07,2897.6,2928,2959.8,2862.2,2897.6
2010-05-10,2918,2910,2931,2870,2918
2010-05-11,2801.6,2949,2957.8,2797.2,2801.6
2010-05-12,2836.2,2809,2855,2782,2836.2
2010-05-13,2894.6,2847.8,2915.6,2823,2894.6
2010-05-14,2862.6,2880,2894.8,2850.4,2862.6
2010-05-17,2719,2840,2840.2,2708,2719
2010-05-18,2810.4,2711.8,2848,2708.4,2810.4
2010-05-19,2784.8,2779.2,2859,2734.2,2784.8
2010-05-20,2763.2,2801,2844.8,2742.2,2763.2
2010-05-21,2801,2702,2802.8,2677,2801
2010-05-24,2902,2814,2933.4,2808,2902
2010-05-25,2813.2,2880,2889.2,2811,2813.2
2010-05-26,2839.6,2846.2,2878.8,2817.6,2839.6
2010-05-27,2901.4,2825,2909.8,2790,2901.4
2010-05-28,2865.2,2930,2942,2853,2865.2
2010-05-31,2792,2850,2898.8,2786.2,2792
2010-06-01,2762,2780,2820.6,2732,2762
2010-06-02,2776.4,2758,2781.4,2718.2,2776.4
2010-06-03,2748,2799.8,2807,2741,2748
2010-06-04,2761,2740,2767.8,2722.2,2761
2010-06-07,2706.2,2700,2718,2680,2706.2
2010-06-08,2724.4,2709.8,2726,2683,2724.4
2010-06-09,2788.8,2720.4,2808,2700.4,2788.8
2010-06-10,2769.6,2776,2791,2763,2769.6
2010-06-11,2765.8,2788,2796.8,2765,2765.8
2010-06-17,2744.2,2779,2784.4,2743,2744.2
2010-06-18,2718.2,2762.4,2779,2705.8,2718.2
2010-06-21,2804.8,2749.2,2816.6,2718,2804.8
2010-06-22,2797.6,2795.6,2815,2793.2,2797.6
2010-06-23,2765.2,2785,2801.6,2743,2765.2
2010-06-24,2771,2771,2810,2750,2771
2010-06-25,2753.8,2759,2772.8,2736,2753.8
2010-06-28,2741.6,2751.6,2763.8,2731.4,2741.6
2010-06-29,2600.4,2741.6,2746.8,2598.4,2600.4
2010-06-30,2579,2580,2593,2563,2579
2010-07-01,2545.2,2577.8,2584.6,2535.6,2545.2
2010-07-02,2546,2550,2565,2478.8,2546
2010-07-05,2530.6,2535,2549.6,2479.6,2530.6
2010-07-06,2564.6,2521.4,2585,2511.2,2564.6
2010-07-07,2568.4,2558,2582,2546.2,2568.4
2010-07-08,2569,2591,2599.4,2562,2569
2010-07-09,2650,2573.2,2668,2563,2650
2010-07-12,2660.6,2652,2693,2647.2,2660.6
2010-07-13,2626,2651,2653,2618.6,2626
2010-07-14,2647,2640,2679.2,2630,2647
2010-07-15,2610.8,2650,2738,2608,2610.8
2010-07-16,2620.6,2613,2629.8,2588,2620.6
2010-07-19,2697.6,2600.2,2715.2,2593.6,2697.6
2010-07-20,2746,2702,2761,2700.4,2746
2010-07-21,2744.4,2749,2758.4,2733.8,2744.4
2010-07-22,2784.4,2740,2785.6,2736.2,2784.4
2010-07-23,2783.6,2790,2800.8,2765.2,2783.6
2010-07-26,2796.8,2792,2803.2,2769.2,2796.8
2010-07-27,2778,2797.8,2799.8,2773.6,2778
2010-07-28,2887.4,2780.2,2888.6,2775.2,2887.4
2010-07-29,2876.8,2888,2896,2862.8,2876.8
2010-07-30,2871.4,2873,2880.6,2855.2,2871.4
2010-08-02,2926.4,2888.2,2950.8,2880.2,2926.4
2010-08-03,2856.8,2928,2935,2849,2856.8
2010-08-04,2873.8,2859.8,2892,2835,2873.8
2010-08-05,2846.4,2872.8,2880.6,2821.8,2846.4
2010-08-06,2920,2850,2923.6,2832,2920
2010-08-09,2913,2917,2932,2891.4,2913
2010-08-10,2837,2913.2,2920.6,2827.8,2837
2010-08-11,2839.4,2839,2873,2825,2839.4
2010-08-12,2826.8,2822,2868.8,2810,2826.8
2010-08-13,2855,2826,2862.8,2810.2,2855
2010-08-16,2927.6,2849,2943,2843.6,2927.6
2010-08-17,2947,2933,2961.8,2928.8,2947
2010-08-18,2962.2,2968.6,2988.4,2947.4,2962.2
2010-08-19,2981.6,2965,3016,2952.2,2981.6
2010-08-20,2921.8,2971.2,2979.6,2911,2921.8
2010-08-23,2905.6,2920.6,2938,2896.4,2905.6
2010-08-24,2914,2898.6,2958.8,2875.4,2914
2010-08-25,2856.4,2911,2922,2852.8,2856.4
2010-08-26,2865.8,2889.8,2894,2848,2865.8
2010-08-27,2872.6,2862,2875,2848.2,2872.6
2010-08-30,2930.2,2885,2948.8,2885,2930.2
2010-08-31,2910.4,2918,2922,2903,2910.4
2010-09-01,2890.2,2925,2956.2,2871.6,2890.2
2010-09-02,2929.2,2920,2949.2,2912.2,2929.2
2010-09-03,2933,2933,2939.6,2901.4,2933
2010-09-06,2992.2,2948,2993.6,2948,2992.2
2010-09-07,2996.6,2990,2998,2968.8,2996.6
2010-09-08,2995.2,2987,2998.6,2972,2995.2
2010-09-09,2947.6,3004,3006.8,2935.6,2947.6
2010-09-10,2940.6,2955,2956,2914,2940.6
2010-09-13,2967.4,2952,2983.8,2935.6,2967.4
2010-09-14,2966.8,2969.8,2995,2956,2966.8
2010-09-15,2920,2968.8,2972.6,2916.4,2920
2010-09-16,2877.8,2935,2936,2846.8,2877.8
2010-09-17,2878.8,2879.6,2889,2868,2878.8
2010-09-20,2873,2881,2892,2848,2873
2010-09-21,2871.4,2881,2886.8,2860.2,2871.4
2010-09-27,2904,2882.2,2914.8,2879.8,2904
2010-09-28,2891.4,2900,2905.4,2889.4,2891.4
2010-09-29,2894.2,2893.4,2912,2881.4,2894.2
2010-09-30,2953.4,2880,2955,2871.6,2953.4
2010-10-08,3054.2,2972.6,3073.8,2966.4,3054.2
2010-10-11,3137.6,3075,3162.4,3075,3137.6
2010-10-12,3154.6,3124.4,3164.2,3123,3154.6
2010-10-13,3206.8,3168,3208.8,3161,3206.8
2010-10-14,3250,3242.4,3272,3233.2,3250
2010-10-15,3392,3230,3394.8,3228,3392
2010-10-18,3329.4,3390,3421.8,3324.2,3329.4
2010-10-19,3423.8,3356.6,3434.4,3327.6,3423.8
2010-10-20,3458.2,3392.6,3513.2,3377,3458.2
2010-10-21,3448.8,3468.8,3492.8,3406.8,3448.8
2010-10-22,3465.4,3455.6,3499,3426.8,3465.4
2010-10-25,3606,3485,3608,3460,3606
2010-10-26,3558.2,3608.2,3618,3521,3558.2
2010-10-27,3488,3562.8,3606.2,3473.4,3488
