date,open,close,high,low,volume,money
2005-09-06,1197.23,1173.32,1201.82,1172.06,3368527300,15305132545
2005-09-07,1170.77,1194.31,1194.59,1168.58,2860285100,13196057601
2005-09-08,1196.27,1194.41,1201.46,1184.79,3052805600,14509460137
2005-09-09,1194.49,1189.63,1204.46,1184.42,2215574600,10145676776
2005-09-12,1189.75,1188.21,1191.93,1181.43,1709668900,7740563991
2005-09-13,1188.25,1207.16,1207.4,1186.22,2591370500,11717912656
2005-09-14,1209.27,1217.26,1217.41,1204.55,3224376100,14981766088
2005-09-15,1217.52,1217.28,1218.94,1210.72,2721749200,12897080342
2005-09-16,1217.42,1212.95,1217.76,1208.56,2239722500,10462806779
2005-09-19,1213.49,1220.63,1220.97,1210.19,2465689300,11635692411
2005-09-20,1222.26,1212.62,1223.57,1204.87,3230069200,15130012474
2005-09-21,1210.85,1187.99,1210.85,1186.98,3179946400,14256992880
2005-09-22,1185.69,1159.96,1185.69,1147.19,2860227400,13184536857
2005-09-23,1157.3,1151.98,1164.6,1149.74,1877439400,8582252840
2005-09-26,1150.93,1155.04,1155.6,1147.27,1453813300,6863233444
2005-09-27,1155.05,1133.24,1157.8,1132.53,1809362900,8530863392
2005-09-28,1131.32,1131.77,1142.49,1129.05,1475154300,6830650086
2005-09-29,1134.44,1155.48,1155.78,1134.44,1853699200,8633593137
2005-09-30,1156.77,1155.61,1158.7,1150.63,1449348100,6959506603
2005-10-10,1153.67,1138.95,1153.67,1137.29,1172006500,5461397813
2005-10-11,1137.95,1157.19,1157.3,1133.89,1342656000,6399253859
2005-10-12,1157.48,1161.85,1165.67,1152.25,1846723100,9335207445
2005-10-13,1162.02,1152.61,1165.36,1152.09,1690523900,8600493455
2005-10-14,1152.37,1139.55,1154.32,1135.51,1514599900,7740778259
2005-10-17,1138.38,1131.38,1138.38,1121.97,1513523800,7421971653
2005-10-18,1131.26,1141.2,1142.04,1129.67,1892809000,9264639121
2005-10-19,1141.05,1134.61,1150.59,1132.48,1890839900,9088381830
2005-10-20,1133.45,1135.95,1136.31,1119.38,1737181700,8498979298
2005-10-21,1135.61,1141.32,1145.99,1132.36,1801115400,8653627199
2005-10-24,1141.33,1141.17,1143.46,1133.92,1727591300,8118828980
2005-10-25,1140.17,1121.92,1140.17,1121.29,1692991400,8050067377
2005-10-26,1119.43,1097.16,1119.43,1094.57,1921183500,8706265866
2005-10-27,1093.93,1097.78,1101.27,1087.48,1720374200,8081971104
2005-10-28,1097.59,1080.87,1102.02,1067.41,1797392900,8018875998
2005-10-31,1079.04,1092.82,1096.15,1078.29,1483514200,6516479252
2005-11-01,1091.68,1089.95,1094.15,1074.3,1398550100,6325525521
2005-11-02,1090,1104.79,1108.88,1090,1876477900,8157757354
2005-11-03,1104.59,1095.27,1111.44,1090.82,1686269400,7510888302
2005-11-04,1094.26,1100.05,1100.43,1087.85,1278313800,5950850807
2005-11-07,1099.53,1100.65,1100.95,1089.83,1208227900,5464935472
2005-11-08,1099.94,1110.15,1111.12,1092.54,1531116400,6723296311
2005-11-09,1110.55,1108.15,1117.06,1107.64,1672545300,7503735562
2005-11-10,1106.94,1088.3,1106.94,1086.1,1615598500,7112323820
2005-11-11,1085.69,1090.19,1094.31,1078.58,1256003200,5378455751
2005-11-14,1089.56,1088.65,1089.71,1083.02,920268800,3894572787
2005-11-15,1088.51,1087.51,1099.03,1082.51,1221575300,5351842101
2005-11-16,1086.83,1095.89,1096.3,1075.43,1260864600,5363158690
2005-11-17,1094.88,1095.31,1098.67,1090.36,1196180200,5135462838
2005-11-18,1095.52,1117,1122.61,1093.53,2248062900,9760979074
2005-11-21,1117.78,1119.94,1122.88,1114.24,1554390600,6496171929
2005-11-22,1119.69,1098.65,1119.69,1098.49,1464680500,5958941132
2005-11-23,1096.56,1105.75,1106.48,1093.95,1260191900,4988739517
2005-11-24,1105.34,1113.37,1117.94,1103.76,1714095800,7054042652
2005-11-25,1113.28,1114.92,1115.08,1107.21,1550915000,6192051319
2005-11-28,1113.83,1110.82,1119.35,1106.94,1285240800,5410846132
2005-11-29,1109.57,1096.99,1110.31,1095.34,1187993800,4850380689
2005-11-30,1095.3,1099.26,1099.58,1090.72,1087597500,4617599443
2005-12-01,1098.78,1098.75,1104.56,1094.44,893211900,4050471415
2005-12-02,1099.76,1094.29,1102.76,1089.56,1063697400,4672796743
2005-12-05,1093.1,1079.2,1093.1,1077.4,1122496500,4817780008
2005-12-06,1077.58,1087.79,1089.59,1074.01,1105274500,4877157993
2005-12-07,1087.74,1099.62,1100.05,1086.73,1038938300,4594163246
2005-12-08,1100.68,1098.32,1106.34,1092.99,1039870900,4671671004
2005-12-09,1097.52,1113.48,1114.58,1094.74,1348701000,6071547008
2005-12-12,1115.75,1116.37,1118.53,1109.08,1194463700,5462027464
2005-12-13,1115.77,1117.85,1119.42,1106.75,1137609200,5192940033
2005-12-14,1117.47,1125.39,1127.63,1110.21,1502212400,7022886804
2005-12-15,1125.67,1123.56,1134.85,1121.56,1682425900,7606543982
2005-12-16,1122.73,1127.51,1127.94,1118.94,1261077700,5810025347
2005-12-19,1127.84,1131.75,1134.5,1123.5,1222867800,5214816908
2005-12-20,1131.8,1136.34,1136.39,1126.99,1171271000,5224166565
2005-12-21,1135.98,1130.76,1142.39,1128.94,1229232200,5550112818
2005-12-22,1129.56,1135.24,1136,1125.95,1112153900,5187955174
2005-12-23,1135.7,1144.87,1144.94,1135.07,1447255300,6620143423
2005-12-26,1145.77,1156.82,1159.78,1145.34,1865313300,8583105005
2005-12-27,1157.49,1154.29,1158.16,1149.85,1567388300,7091742297
2005-12-28,1155.12,1157.03,1157.2,1149.27,1468028600,6585027609
2005-12-29,1157.51,1169.86,1169.87,1157.51,2180339900,10681224358
2005-12-30,1171.58,1161.06,1173.06,1158.97,2002793400,10196713857
2006-01-04,1163.88,1180.96,1181,1161.91,2325854200,11970425035
2006-01-05,1183.31,1197.27,1197.84,1180.45,2948447900,14767201450
2006-01-06,1198.81,1209.42,1215.54,1191.61,3434285600,17130467164
2006-01-09,1210.32,1215.67,1217.31,1205.25,2870665700,14206400301
2006-01-10,1215.85,1220.62,1220.76,1203.65,2679454700,13496372593
2006-01-11,1219.81,1211.05,1223.56,1204.04,3063146400,15064367454
