date,open,close,high,low,volume,money
2010-04-16,3474.055,3435.308,3514.659,3432.499,58457,60537672720
2010-04-19,3414.444,3213.307,3416.017,3186.052,123612,1.22163E+11
2010-04-20,3221.567,3229.914,3254.513,3184.809,153419,1.47625E+11
2010-04-21,3231.098,3282.333,3296.184,3222.858,121023,1.17676E+11
2010-04-22,3275.504,3251.239,3288.689,3226.155,140307,1.36603E+11
2010-04-23,3255.091,3237.398,3281.255,3236.843,121963,1.18817E+11
2010-04-26,3258.231,3235.99,3267.571,3228.207,116259,1.12931E+11
2010-04-27,3217.428,3156.483,3220.545,3124.553,146123,1.37951E+11
2010-04-28,3121.873,3148.285,3161.43,3112.366,133791,1.25505E+11
2010-04-29,3160.234,3104.143,3176.62,3102.748,121254,1.14207E+11
2010-04-30,3121.069,3125.241,3137.126,3062.854,193380,1.79009E+11
2010-05-04,3101.05,3096.525,3113.894,3081.482,157571,1.45597E+11
2010-05-05,3068.908,3095.842,3105.629,3052.128,153710,1.41123E+11
2010-05-06,3097.511,2991.078,3102.218,2978.324,181699,1.65149E+11
2010-05-07,2950.777,2920.009,2980.25,2888.371,256676,2.24361E+11
2010-05-10,2931.374,2939.999,2954.475,2895.053,218207,1.9039E+11
2010-05-11,2970.968,2819.574,2980.12,2816.181,246312,2.13415E+11
2010-05-12,2827.182,2853.857,2873.772,2801.779,315025,2.67167E+11
2010-05-13,2869.911,2914.472,2930.397,2845.413,255153,2.19478E+11
2010-05-14,2902.837,2878.859,2913.299,2868.492,228636,1.97483E+11
2010-05-17,2850.865,2723.964,2856.115,2713.986,221841,1.84586E+11
2010-05-18,2715.501,2807.45,2841.983,2709.615,306063,2.53977E+11
2010-05-19,2784.001,2788.979,2861.851,2739.496,362039,3.03927E+11
2010-05-20,2804.074,2769.848,2851.889,2748.233,305072,2.55462E+11
2010-05-21,2711.252,2810.181,2811.767,2684.442,317595,2.6158E+11
2010-05-24,2827.574,2918.061,2947.945,2821.323,306317,2.66098E+11
2010-05-25,2892.488,2825.793,2902.529,2823.689,300900,2.57842E+11
2010-05-26,2857.238,2850.793,2889.934,2829.31,339998,2.90294E+11
2010-05-27,2836.508,2912.362,2919.943,2800.661,339829,2.90331E+11
2010-05-28,2939.905,2875.164,2956.334,2863.781,318732,2.76998E+11
2010-05-31,2858.074,2801.734,2907.609,2796.683,350260,2.99322E+11
2010-06-01,2790.292,2771.169,2829.746,2741.523,436171,3.63172E+11
2010-06-02,2768.434,2785.455,2790.992,2728.239,358266,2.96054E+11
2010-06-03,2808.798,2758.025,2816.495,2751.411,358036,2.98586E+11
2010-06-04,2752.285,2770.744,2777.335,2732.441,337663,2.7827E+11
2010-06-07,2710.656,2715.132,2727.04,2689.683,307258,2.49102E+11
2010-06-08,2718.331,2733.88,2735.814,2693.558,241972,1.96796E+11
2010-06-09,2731.285,2799.942,2816.918,2710.872,345288,2.84142E+11
2010-06-10,2786.256,2781.131,2801.86,2774.343,261058,2.17378E+11
2010-06-11,2802.609,2783.534,2812.069,2782.57,215378,1.80054E+11
2010-06-17,2807.12,2763.482,2810.047,2761.547,190270,1.59209E+11
